code,date,close,trailing_return_pct,volume_ratio_vs_avg,pct_below_52w_high,pct_vs_ma25,pct_vs_ma75,pct_vs_ma200,ma25_above_ma75,rsi14,is_52w_high_break,trade_outcome,days_to_outcome,outcome_return_pct
44610,2025-11-06,7220.0,6.487341772151899,1.7330386243584461,3.087248322147651,14.997451580020392,25.28631915041299,75.72275719228134,1,70.4119850187266,False,timeout_win,20.0,4.43213296398892
44710,2025-11-06,4260.0,2.5893958076448826,2.6540719002201025,1.9562715765247412,3.107754864943354,3.6900009736150414,8.827549208701098,1,63.12056737588653,False,timeout_win,20.0,9.272300469483568
45070,2025-11-06,2624.0,-0.1539349624783529,0.7316260556477456,4.858593183466279,4.891191378455739,2.268829832565963,8.245689664062978,0,86.11111111111111,False,timeout_win,20.0,1.048018292682927
45490,2025-11-06,2330.0,-1.8789144050104383,1.529868114817688,7.171314741035857,-1.0750131616935348,-1.6241168688603047,4.289988832466852,0,52.33918128654972,False,timeout_win,20.0,4.07725321888412
45540,2025-11-06,1585.0,-0.19047619047619047,0.48139474368982565,5.654761904761905,0.07323972118396314,4.637959262714998,12.091370378882969,1,42.02127659574468,False,timeout_win,20.0,6.624605678233439
45780,2025-11-06,8511.0,0.07115749525616698,0.9454548855829354,2.262287551676619,2.8763308288126144,7.149151888003896,12.912801361162424,1,62.509335324869305,False,timeout_win,20.0,7.637175420044648
46110,2025-11-06,1250.0,-4.064417177914111,0.860684493646215,6.576980568011958,-2.2887874429366497,-2.312204982859042,1.796504715214094,0,35.97122302158273,False,timeout_win,20.0,3.36
46310,2025-11-06,3653.0,-1.783783783783784,1.1545818638292784,2.5606828487596696,0.3637602479284288,5.64154173607255,14.980245147451225,1,57.817109144542776,False,timeout_win,20.0,2.3816041609635916
46340,2025-11-06,3170.0,0.0,0.9634238310708899,6.901615271659324,0.8590518612790328,0.33211936040647716,3.22757120504349,0,55.55555555555556,False,timeout_win,20.0,5.520504731861198
46650,2025-11-06,3729.0,-3.912483912483913,0.6883432868834328,9.731299927378359,-0.7199071362392298,-4.020714435243362,-1.8680336896066727,0,50.310559006211186,False,timeout_win,20.0,10.32448377581121
46860,2025-11-06,4860.0,5.155746509129968,0.9212367095691102,5.078125,5.656767685551541,8.243748886381182,26.05450690252174,1,70.22222222222223,False,timeout_win,20.0,3.292181069958848
46940,2025-11-06,3715.0,-0.9472259810554804,2.704148186798852,1.7195767195767195,2.4771047114642,3.362887668793593,15.741822520897394,1,62.58992805755396,False,timeout_win,20.0,3.2301480484522207
