code,date,close,recent_breakout_count_120d,trailing_return_pct,trade_outcome,days_to_outcome,outcome_return_pct
18080,2025-11-04,2470.0,0.0,3.923205342237062,take_profit,7.0,15.0
83930,2025-11-04,4725.0,0.0,5.215419501133787,take_profit,16.0,15.0
59010,2025-11-04,3411.0,0.0,6.525084641428132,timeout_win,20.0,11.550864849017884
83950,2025-11-04,3230.0,0.0,5.254515599343185,take_profit,18.0,14.999999999999986
64200,2025-11-04,3625.0,0.0,1.1267605633802817,timeout_win,20.0,0.9655172413793104
83990,2025-11-04,1523.0,0.0,5.097765363128492,take_profit,16.0,14.999999999999988
83870,2025-11-04,1474.0,0.0,3.3380681818181817,take_profit,18.0,14.999999999999995
18200,2025-11-04,5342.0,0.0,4.516765285996055,timeout_win,20.0,4.455260202171472
58510,2025-11-04,2803.0,0.0,2.7127461910070605,stop_loss,3.0,-7.999999999999992
80370,2025-11-04,2960.0,0.0,3.0003529827038475,stop_loss,10.0,-7.99999999999999
18330,2025-11-04,4950.0,0.0,5.844155844155844,take_profit,13.0,15.0
18350,2025-11-04,4285.0,0.0,1.3157894736842104,timeout_win,20.0,0.3500583430571762
28750,2025-11-04,10165.0,0.0,7.077953132472501,timeout_win,20.0,4.869650762420069
58380,2025-11-04,8371.0,0.0,5.943313772006493,stop_loss,6.0,-7.999999999999993
80320,2025-11-04,727.0,0.0,3.133903133903134,timeout_win,20.0,3.43878954607978
80500,2025-11-04,7280.0,0.0,7.564296520423601,stop_loss,10.0,-7.999999999999995
65710,2025-11-04,1372.0,0.0,3.5877862595419847,timeout_loss,20.0,-2.696793002915452
65840,2025-11-04,931.0,0.0,3.954802259887006,stop_loss,9.0,-8.000000000000002
87140,2025-11-04,673.0,0.0,4.724409448818897,take_profit,16.0,14.999999999999991
45540,2025-11-04,1606.0,0.0,4.503311258278146,timeout_win,20.0,11.083437110834371
72780,2025-11-04,5250.0,0.0,2.1653543307086616,timeout_win,20.0,3.0476190476190474
72760,2025-11-04,2312.5,0.0,3.714542998649257,timeout_loss,20.0,-2.810810810810811
68200,2025-11-04,3210.0,0.0,2.6143790849673203,stop_loss,6.0,-7.999999999999992
94320,2025-11-04,155.4,0.0,3.597122302158273,timeout_loss,20.0,-0.4504504504504614
49510,2025-11-04,1586.0,0.0,1.095360824742268,timeout_loss,20.0,-3.8461538461538463
72670,2025-11-04,1590.0,0.0,3.7578982374459593,timeout_loss,20.0,-5.440251572327044
94160,2025-11-04,1208.0,0.0,2.4288107202680065,timeout_win,20.0,5.380794701986755
72460,2025-11-04,665.0,0.0,4.2993630573248405,take_profit,14.0,14.999999999999982
90690,2025-11-04,1999.0,0.0,1.7189079878665317,stop_loss,8.0,-7.999999999999992
