code,date,close,daily_return_pct
87500,2025-03-28,1171.0,-75.67511425010387
87980,2025-04-08,269.0,31.862745098039213
87980,2025-07-18,328.0,32.258064516129025
87980,2025-12-29,207.0,31.847133757961778
87980,2025-12-30,287.0,38.647342995169076
88030,2025-06-27,2211.0,-50.25871766029246
88180,2026-04-30,946.0,-48.362445414847166
88300,2025-12-29,3978.0,-49.8234106962664
89230,2025-11-27,1653.0,-52.7038626609442
90080,2026-03-30,799.0,-79.75164723770907
93020,2025-04-28,2914.0,-66.19489559164732
93040,2025-09-29,1137.0,-75.0657894736842
93050,2025-05-29,2369.0,-48.722943722943725
93410,2025-05-15,756.0,-25.51724137931034
94330,2025-03-28,2442.5,-49.88715633976201
95330,2026-03-30,1243.5,-74.42410530645824
96020,2026-02-26,1553.5,-79.98840654386191
96120,2025-11-17,1495.0,25.10460251046025
96440,2025-03-28,657.0,-52.835606604450824
96580,2026-03-30,934.0,-68.06837606837607
96820,2025-09-29,1324.0,-75.06591337099812
96840,2025-09-29,3147.0,-67.34122042341221
97220,2025-12-29,2584.0,-80.51282051282051
97570,2025-12-29,1171.0,-50.12776831345826
98430,2025-09-29,2795.0,-80.21238938053096
98820,2025-03-28,1387.0,-50.4288777698356
98890,2025-03-28,1152.0,-75.2258064516129
99340,2025-11-27,2457.0,-49.02489626556017
99840,2025-12-29,4485.0,-74.80337078651685
